number,value,datetime_start,datetime_complete,duration,params_dema_period,params_tema_fast,params_tema_slow,state
121,-1307.0043771654146,2025-06-30 21:57:54.829659,2025-06-30 22:34:31.819411,0 days 00:36:36.989752,12,31,32,COMPLETE
122,0.0,2025-06-30 21:57:55.107064,2025-06-30 22:07:01.586432,0 days 00:09:06.479368,161,55,53,COMPLETE
123,-311.72717696597556,2025-06-30 21:57:55.285564,2025-06-30 22:29:51.539130,0 days 00:31:56.253566,125,52,233,COMPLETE
124,-2419.2336039225765,2025-06-30 21:57:55.552525,2025-06-30 22:32:51.923545,0 days 00:34:56.371020,64,14,198,COMPLETE
125,-2533.7505742854073,2025-06-30 21:57:55.678681,2025-06-30 22:33:22.758981,0 days 00:35:27.080300,74,16,120,COMPLETE
126,-453.2105718151697,2025-06-30 21:57:55.920924,2025-06-30 22:33:05.522302,0 days 00:35:09.601378,34,51,62,COMPLETE
127,1854.9794731008042,2025-06-30 21:57:57.261736,2025-06-30 22:32:57.860459,0 days 00:35:00.598723,143,57,237,COMPLETE
128,811.9926350773221,2025-06-30 21:57:58.402794,2025-06-30 22:30:53.850640,0 days 00:32:55.447846,16,43,108,COMPLETE
129,1970.4943676455232,2025-06-30 21:57:58.657027,2025-06-30 22:35:28.466578,0 days 00:37:29.809551,82,70,247,COMPLETE
130,-70.1514753003421,2025-06-30 21:57:59.177068,2025-06-30 22:36:14.874138,0 days 00:38:15.697070,44,46,98,COMPLETE
131,-454.25690852256685,2025-06-30 21:57:59.775524,2025-06-30 22:35:32.137618,0 days 00:37:32.362094,30,21,130,COMPLETE
132,3433.5629662450265,2025-06-30 21:58:00.327489,2025-06-30 22:34:48.963800,0 days 00:36:48.636311,38,72,218,COMPLETE
133,-128.1050433499404,2025-06-30 21:58:00.491126,2025-06-30 22:34:10.202935,0 days 00:36:09.711809,20,17,168,COMPLETE
134,1902.1873466705892,2025-06-30 21:58:00.764807,2025-06-30 22:34:53.319411,0 days 00:36:52.554604,8,38,116,COMPLETE
135,0.0,2025-06-30 21:58:00.925134,2025-06-30 22:07:41.984651,0 days 00:09:41.059517,85,70,57,COMPLETE
136,6522.533799458502,2025-06-30 21:58:01.785108,2025-06-30 22:34:45.368848,0 days 00:36:43.583740,104,62,100,COMPLETE
137,7686.887132473823,2025-06-30 21:58:02.022358,2025-06-30 22:34:11.237602,0 days 00:36:09.215244,180,40,121,COMPLETE
138,-2214.866157365457,2025-06-30 21:58:02.196842,2025-06-30 22:32:59.842929,0 days 00:34:57.646087,56,10,181,COMPLETE
139,-6300.469830399574,2025-06-30 21:58:02.306834,2025-06-30 22:36:45.504599,0 days 00:38:43.197765,97,22,187,COMPLETE
140,6629.619372450287,2025-06-30 21:58:02.537487,2025-06-30 22:36:41.004044,0 days 00:38:38.466557,141,71,83,COMPLETE
141,-2506.1595144380362,2025-06-30 21:58:02.606584,2025-06-30 22:38:09.617072,0 days 00:40:07.010488,5,7,37,COMPLETE
142,5674.392774203905,2025-06-30 21:58:02.893218,2025-06-30 22:34:02.957544,0 days 00:36:00.064326,180,37,66,COMPLETE
143,0.0,2025-06-30 21:58:03.194345,2025-06-30 22:08:06.344439,0 days 00:10:03.150094,103,80,45,COMPLETE
144,14372.88046417238,2025-06-30 21:58:03.660609,2025-06-30 22:37:15.886379,0 days 00:39:12.225770,197,28,167,COMPLETE
145,5937.139620158972,2025-06-30 21:58:04.155468,2025-06-30 22:36:21.562613,0 days 00:38:17.407145,173,52,100,COMPLETE
146,-2794.009757695183,2025-06-30 21:58:05.477929,2025-06-30 22:38:03.495862,0 days 00:39:58.017933,97,25,66,COMPLETE
147,201.07013367035415,2025-06-30 21:58:05.875483,2025-06-30 22:36:39.913777,0 days 00:38:34.038294,50,29,197,COMPLETE
148,7999.899377357293,2025-06-30 21:58:05.921224,2025-06-30 22:38:07.133742,0 days 00:40:01.212518,197,76,112,COMPLETE
149,0.0,2025-06-30 21:58:06.490776,2025-06-30 22:08:36.391344,0 days 00:10:29.900568,37,65,55,COMPLETE
150,6997.738710079829,2025-06-30 21:58:06.550736,2025-06-30 22:40:04.881127,0 days 00:41:58.330391,174,49,205,COMPLETE
151,7744.095609856376,2025-06-30 21:58:07.147573,2025-06-30 22:38:22.845714,0 days 00:40:15.698141,194,51,194,COMPLETE
152,1032.9099498917658,2025-06-30 21:58:08.028628,2025-06-30 22:40:39.914327,0 days 00:42:31.885699,157,63,195,COMPLETE
153,3187.025908525441,2025-06-30 21:58:08.517304,2025-06-30 22:40:04.477311,0 days 00:41:55.960007,142,42,193,COMPLETE
154,-627.6488187206514,2025-06-30 21:58:08.660579,2025-06-30 22:40:35.397014,0 days 00:42:26.736435,23,22,211,COMPLETE
155,-194.0086147438533,2025-06-30 21:58:09.121738,2025-06-30 22:40:10.236013,0 days 00:42:01.114275,32,30,56,COMPLETE
156,-25.995646254314124,2025-06-30 21:58:09.594492,2025-06-30 22:40:34.369479,0 days 00:42:24.774987,54,20,249,COMPLETE
157,-418.325934743596,2025-06-30 21:58:10.436906,2025-06-30 22:39:00.381331,0 days 00:40:49.944425,58,32,148,COMPLETE
158,6205.276163877548,2025-06-30 21:58:10.950747,2025-06-30 22:40:06.177839,0 days 00:41:55.227092,169,65,79,COMPLETE
159,3865.981070118267,2025-06-30 21:58:11.101399,2025-06-30 22:39:05.207158,0 days 00:40:54.105759,109,66,89,COMPLETE
160,4496.6294016838,2025-06-30 21:58:11.198245,2025-06-30 22:38:59.021923,0 days 00:40:47.823678,149,70,126,COMPLETE
161,1484.8302403973075,2025-06-30 21:58:11.297866,2025-06-30 22:40:36.321988,0 days 00:42:25.024122,5,30,183,COMPLETE
162,0.0,2025-06-30 21:58:11.622822,2025-06-30 22:09:25.380478,0 days 00:11:13.757656,22,62,33,COMPLETE
163,10204.07883344556,2025-06-30 21:58:11.678424,2025-06-30 22:38:41.205221,0 days 00:40:29.526797,176,50,112,COMPLETE
164,1657.0749915888491,2025-06-30 21:58:12.284593,2025-06-30 22:39:22.317275,0 days 00:41:10.032682,147,74,181,COMPLETE
165,975.3773178261517,2025-06-30 21:58:12.344150,2025-06-30 22:39:09.715552,0 days 00:40:57.371402,110,46,207,COMPLETE
166,-490.0699174444044,2025-06-30 21:58:12.729257,2025-06-30 22:40:30.428985,0 days 00:42:17.699728,94,54,210,COMPLETE
167,-3645.9828525950807,2025-06-30 21:58:12.935752,2025-06-30 22:40:30.821362,0 days 00:42:17.885610,100,23,126,COMPLETE
168,-3339.4226985872992,2025-06-30 21:58:13.686245,2025-06-30 22:40:29.023716,0 days 00:42:15.337471,93,44,240,COMPLETE
169,-3020.859822306612,2025-06-30 21:58:13.932583,2025-06-30 22:41:36.457037,0 days 00:43:22.524454,121,57,207,COMPLETE
170,2501.692565022975,2025-06-30 21:58:14.243401,2025-06-30 22:39:44.500338,0 days 00:41:30.256937,141,69,211,COMPLETE
171,1847.0876800247847,2025-06-30 21:58:14.708901,2025-06-30 22:40:00.062084,0 days 00:41:45.353183,102,50,107,COMPLETE
172,2032.5167916079672,2025-06-30 21:58:14.989270,2025-06-30 22:40:17.625511,0 days 00:42:02.636241,131,70,178,COMPLETE
173,6546.962370257977,2025-06-30 21:58:15.110984,2025-06-30 22:41:13.128329,0 days 00:42:58.017345,184,58,168,COMPLETE
174,-226.80160566750146,2025-06-30 21:58:15.518746,2025-06-30 22:39:56.333737,0 days 00:41:40.814991,42,6,198,COMPLETE
175,8102.912057156946,2025-06-30 21:58:15.698678,2025-06-30 22:39:59.294148,0 days 00:41:43.595470,142,37,178,COMPLETE
176,5690.637434574904,2025-06-30 21:58:16.457311,2025-06-30 22:41:58.852370,0 days 00:43:42.395059,135,36,151,COMPLETE
177,7643.99956841961,2025-06-30 21:58:16.701916,2025-06-30 22:40:06.619160,0 days 00:41:49.917244,194,49,201,COMPLETE
178,8123.471245045275,2025-06-30 21:58:16.846839,2025-06-30 22:39:12.695969,0 days 00:40:55.849130,161,60,167,COMPLETE
179,1629.2687920224753,2025-06-30 21:58:17.115026,2025-06-30 22:39:52.395781,0 days 00:41:35.280755,48,37,159,COMPLETE
180,1798.8215084670182,2025-06-30 21:58:17.468923,2025-06-30 22:41:52.151039,0 days 00:43:34.682116,102,72,123,COMPLETE
181,22.731707611235834,2025-06-30 21:58:18.813001,2025-06-30 22:42:14.488400,0 days 00:43:55.675399,66,31,77,COMPLETE
182,-704.1297821401486,2025-06-30 21:58:19.495235,2025-06-30 22:40:05.748133,0 days 00:41:46.252898,42,38,110,COMPLETE
183,-4175.71072361576,2025-06-30 21:58:19.808615,2025-06-30 22:21:17.591916,0 days 00:22:57.783301,104,23,147,COMPLETE
184,7759.761943939526,2025-06-30 21:58:19.860282,2025-06-30 22:39:42.355081,0 days 00:41:22.494799,193,74,109,COMPLETE
185,4375.858853882049,2025-06-30 21:58:20.640729,2025-06-30 22:40:36.254313,0 days 00:42:15.613584,139,51,145,COMPLETE
186,3285.656368794682,2025-06-30 21:58:20.737883,2025-06-30 22:41:47.875668,0 days 00:43:27.137785,78,20,83,COMPLETE
187,1723.8561940298423,2025-06-30 21:58:21.613835,2025-06-30 22:41:38.423934,0 days 00:43:16.810099,120,12,157,COMPLETE
188,1996.121183160446,2025-06-30 21:58:21.654992,2025-06-30 22:39:28.333227,0 days 00:41:06.678235,6,69,115,COMPLETE
189,-1697.290836392087,2025-06-30 21:58:21.691623,2025-06-30 22:41:47.269716,0 days 00:43:25.578093,45,6,157,COMPLETE
190,6563.879010459448,2025-06-30 21:58:21.908643,2025-06-30 22:40:51.887449,0 days 00:42:29.978806,179,71,240,COMPLETE
191,0.0,2025-06-30 21:58:22.411236,2025-06-30 22:09:51.531355,0 days 00:11:29.120119,58,57,38,COMPLETE
192,1379.0399908000327,2025-06-30 21:58:24.135916,2025-06-30 22:41:34.275229,0 days 00:43:10.139313,122,23,102,COMPLETE
193,-12323.818208475044,2025-06-30 21:58:24.256062,2025-06-30 22:42:10.543941,0 days 00:43:46.287879,85,15,36,COMPLETE
194,-4696.308910272329,2025-06-30 21:58:24.374963,2025-06-30 22:41:16.823421,0 days 00:42:52.448458,126,31,199,COMPLETE
195,2795.616681304477,2025-06-30 21:58:24.518673,2025-06-30 22:39:55.485768,0 days 00:41:30.967095,60,62,207,COMPLETE
196,-2137.2227037129433,2025-06-30 21:58:25.326279,2025-06-30 22:40:39.624094,0 days 00:42:14.297815,58,14,112,COMPLETE
197,392.76219676653363,2025-06-30 21:58:25.643340,2025-06-30 22:42:00.366491,0 days 00:43:34.723151,23,30,228,COMPLETE
198,627.9620917126013,2025-06-30 21:58:25.872417,2025-06-30 22:42:07.245345,0 days 00:43:41.372928,10,50,222,COMPLETE
199,6414.62440140475,2025-06-30 21:58:26.227371,2025-06-30 22:40:56.901662,0 days 00:42:30.674291,173,73,104,COMPLETE
200,-2623.4587004408186,2025-06-30 21:58:26.330819,2025-06-30 22:41:03.336140,0 days 00:42:37.005321,125,58,213,COMPLETE
