number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
112,4190.409597239646,2025-08-03 21:36:29.409792,2025-08-03 21:37:12.051925,0 days 00:00:42.642133,0.5694341729427245,24,20,COMPLETE
113,2179.354081359218,2025-08-03 21:36:29.420367,2025-08-03 21:37:25.476820,0 days 00:00:56.056453,0.5532057810365469,6,20,COMPLETE
114,1643.3710584190214,2025-08-03 21:36:29.432345,2025-08-03 21:37:02.776862,0 days 00:00:33.344517,0.5150027431463773,5,26,COMPLETE
115,1720.0402790986193,2025-08-03 21:36:29.514948,2025-08-03 21:37:03.598302,0 days 00:00:34.083354,0.7070565047699211,6,26,COMPLETE
116,4243.111044811864,2025-08-03 21:36:29.543123,2025-08-03 21:37:04.092812,0 days 00:00:34.549689,0.7203710357824531,24,29,COMPLETE
117,9611.647819385013,2025-08-03 21:36:29.686777,2025-08-03 21:37:32.990411,0 days 00:01:03.303634,0.9491004977631907,7,49,COMPLETE
118,22479.774165096198,2025-08-03 21:36:29.694727,2025-08-03 21:37:05.055177,0 days 00:00:35.360450,4.456718671849892,24,20,COMPLETE
119,11785.629786683672,2025-08-03 21:36:29.746545,2025-08-03 21:37:05.909011,0 days 00:00:36.162466,1.0211885456781977,7,21,COMPLETE
120,1860.3089428801222,2025-08-03 21:36:29.770384,2025-08-03 21:37:14.202669,0 days 00:00:44.432285,0.5498731256859597,6,23,COMPLETE
121,2688.1916492421174,2025-08-03 21:36:29.793447,2025-08-03 21:37:14.826846,0 days 00:00:45.033399,0.6127794081999487,7,20,COMPLETE
122,1417.950870638126,2025-08-03 21:36:29.947704,2025-08-03 21:37:15.706545,0 days 00:00:45.758841,0.5265037580296349,6,20,COMPLETE
123,2769.48460971626,2025-08-03 21:36:30.015083,2025-08-03 21:37:15.845304,0 days 00:00:45.830221,0.7617152904569995,5,24,COMPLETE
124,22479.774165096198,2025-08-03 21:36:30.017837,2025-08-03 21:38:07.784351,0 days 00:01:37.766514,4.480885889843595,24,20,COMPLETE
125,2216.106839244046,2025-08-03 21:36:30.122644,2025-08-03 21:37:16.668534,0 days 00:00:46.545890,0.5981445390757969,6,22,COMPLETE
126,2246.8784473111045,2025-08-03 21:36:30.225606,2025-08-03 21:37:38.284614,0 days 00:01:08.059008,0.6857271446366986,5,22,COMPLETE
127,5859.092684555625,2025-08-03 21:36:30.243980,2025-08-03 21:37:18.264432,0 days 00:00:48.020452,0.7793010626587549,5,20,COMPLETE
128,1178.036158924413,2025-08-03 21:36:30.326319,2025-08-03 21:37:20.741946,0 days 00:00:50.415627,0.6856918822910667,6,23,COMPLETE
129,1877.9021172289442,2025-08-03 21:36:30.619048,2025-08-03 21:37:19.475785,0 days 00:00:48.856737,0.50596251272908,24,23,COMPLETE
130,1300.591960553101,2025-08-03 21:36:30.652755,2025-08-03 21:37:20.311909,0 days 00:00:49.659154,0.510338818811461,6,20,COMPLETE
131,18772.687009129815,2025-08-03 21:36:30.702672,2025-08-03 21:37:21.659008,0 days 00:00:50.956336,4.472812140884603,7,20,COMPLETE
132,2205.2992111135095,2025-08-03 21:36:30.815534,2025-08-03 21:37:01.526922,0 days 00:00:30.711388,0.5637554318286395,6,21,COMPLETE
133,4820.259316599091,2025-08-03 21:36:30.953552,2025-08-03 21:37:22.137877,0 days 00:00:51.184325,0.8346312429244174,6,23,COMPLETE
134,4780.058417009828,2025-08-03 21:36:31.380151,2025-08-03 21:37:09.270805,0 days 00:00:37.890654,0.7904611613281733,23,20,COMPLETE
135,15079.613263215082,2025-08-03 21:36:31.445197,2025-08-03 21:37:23.858992,0 days 00:00:52.413795,4.3033390588478175,5,21,COMPLETE
136,3193.541536022136,2025-08-03 21:36:31.626875,2025-08-03 21:37:09.797204,0 days 00:00:38.170329,0.582046303393803,6,31,COMPLETE
137,2145.7686483677344,2025-08-03 21:36:31.728930,2025-08-03 21:37:24.321050,0 days 00:00:52.592120,0.5330196117194208,7,31,COMPLETE
138,2496.164272469312,2025-08-03 21:36:31.763948,2025-08-03 21:37:10.716052,0 days 00:00:38.952104,0.7334005767591047,5,31,COMPLETE
139,13633.350233623521,2025-08-03 21:36:31.827656,2025-08-03 21:37:44.676196,0 days 00:01:12.848540,2.159623401430025,5,31,COMPLETE
140,2611.045544454403,2025-08-03 21:36:31.873734,2025-08-03 21:37:46.537778,0 days 00:01:14.664044,0.5015108060701636,5,31,COMPLETE
141,2351.495002748821,2025-08-03 21:36:31.912693,2025-08-03 21:38:45.892099,0 days 00:02:13.979406,0.566369128297386,5,29,COMPLETE
142,2849.7452292396847,2025-08-03 21:36:31.936330,2025-08-03 21:37:26.943764,0 days 00:00:55.007434,0.5492272985470268,5,32,COMPLETE
143,3003.452463694279,2025-08-03 21:36:31.987085,2025-08-03 21:37:26.215897,0 days 00:00:54.228812,0.5475856999066386,5,31,COMPLETE
144,1878.3638680842325,2025-08-03 21:36:32.099844,2025-08-03 21:37:51.075548,0 days 00:01:18.975704,0.7195284387954912,8,31,COMPLETE
145,1710.3897942203905,2025-08-03 21:36:32.193643,2025-08-03 21:37:12.073084,0 days 00:00:39.879441,0.5308151575532123,6,33,COMPLETE
146,11988.282610167607,2025-08-03 21:36:32.218601,2025-08-03 21:37:27.904824,0 days 00:00:55.686223,1.9605508838128878,5,32,COMPLETE
147,3556.553337616621,2025-08-03 21:36:32.252460,2025-08-03 21:38:53.882606,0 days 00:02:21.630146,0.7534346401136103,7,28,COMPLETE
148,20085.778540513806,2025-08-03 21:36:32.365437,2025-08-03 21:37:29.993199,0 days 00:00:57.627762,2.2191175886958807,6,27,COMPLETE
149,1390.6067939120308,2025-08-03 21:36:32.414091,2025-08-03 21:37:12.817482,0 days 00:00:40.403391,0.5422873519066815,8,33,COMPLETE
150,2131.131347794294,2025-08-03 21:36:32.503463,2025-08-03 21:37:12.996727,0 days 00:00:40.493264,0.5050667006029512,26,20,COMPLETE
151,27972.19616129264,2025-08-03 21:36:32.504904,2025-08-03 21:37:31.466741,0 days 00:00:58.961837,4.324638370049127,24,22,COMPLETE
152,3343.158283992715,2025-08-03 21:36:32.569187,2025-08-03 21:37:30.969130,0 days 00:00:58.399943,0.5490185393909921,24,20,COMPLETE
153,4502.661358148382,2025-08-03 21:36:32.570760,2025-08-03 21:37:33.772729,0 days 00:01:01.201969,0.6026418941498446,24,20,COMPLETE
154,3751.8127250880298,2025-08-03 21:36:32.580176,2025-08-03 21:37:13.565780,0 days 00:00:40.985604,0.5604011764104,24,20,COMPLETE
155,4286.426612002591,2025-08-03 21:36:32.613096,2025-08-03 21:37:32.714562,0 days 00:01:00.101466,0.6606359172217906,24,20,COMPLETE
156,8985.539915171577,2025-08-03 21:36:32.668818,2025-08-03 21:37:35.320155,0 days 00:01:02.651337,2.2018333270944277,23,20,COMPLETE
157,46240.382440153284,2025-08-03 21:36:32.685013,2025-08-03 21:37:35.466299,0 days 00:01:02.781286,4.48737651065555,5,20,COMPLETE
158,13430.986363782209,2025-08-03 21:36:32.761130,2025-08-03 21:37:06.084064,0 days 00:00:33.322934,2.08975837069867,24,32,COMPLETE
159,18541.994940767137,2025-08-03 21:36:32.773195,2025-08-03 21:37:36.394820,0 days 00:01:03.621625,2.158115212907673,24,29,COMPLETE
160,13847.235979616702,2025-08-03 21:36:32.784679,2025-08-03 21:37:16.670799,0 days 00:00:43.886120,1.9776415158567389,24,33,COMPLETE
161,3492.8694189575667,2025-08-03 21:36:32.798758,2025-08-03 21:37:36.738541,0 days 00:01:03.939783,0.5199048857203215,24,29,COMPLETE
162,11430.826121792077,2025-08-03 21:36:32.831797,2025-08-03 21:38:10.509405,0 days 00:01:37.677608,2.2178722979273124,24,30,COMPLETE
163,13613.962877436275,2025-08-03 21:36:32.836689,2025-08-03 21:38:10.816699,0 days 00:01:37.980010,2.160474042951475,24,30,COMPLETE
164,11530.021805942799,2025-08-03 21:36:32.839558,2025-08-03 21:37:17.125170,0 days 00:00:44.285612,2.1454849876270305,24,30,COMPLETE
165,7384.2300030442975,2025-08-03 21:36:32.890522,2025-08-03 21:37:18.402102,0 days 00:00:45.511580,2.2471534960278072,25,30,COMPLETE
166,13008.982382742739,2025-08-03 21:36:32.896495,2025-08-03 21:38:09.010393,0 days 00:01:36.113898,2.07209710715736,23,30,COMPLETE
