number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
138,4178.433773698594,2025-08-06 11:09:09.120871,2025-08-06 11:09:42.528695,0 days 00:00:33.407824,1.9045269973089511,6,100,COMPLETE
139,11178.19346711655,2025-08-06 11:09:09.174999,2025-08-06 11:10:08.799230,0 days 00:00:59.624231,1.7805887171964405,6,87,COMPLETE
140,6731.785472772417,2025-08-06 11:09:09.202648,2025-08-06 11:12:02.420508,0 days 00:02:53.217860,1.934714048009062,6,87,COMPLETE
141,6506.478425996874,2025-08-06 11:09:09.216587,2025-08-06 11:10:50.170286,0 days 00:01:40.953699,1.9260278765973875,6,87,COMPLETE
142,9627.294125766188,2025-08-06 11:09:09.224359,2025-08-06 11:10:10.622646,0 days 00:01:01.398287,1.7788678675159637,5,98,COMPLETE
143,20681.94144135938,2025-08-06 11:09:09.279936,2025-08-06 11:10:11.276043,0 days 00:01:01.996107,1.731093761596512,5,59,COMPLETE
144,7588.238387964962,2025-08-06 11:09:09.329824,2025-08-06 11:09:51.239730,0 days 00:00:41.909906,1.9033933899536626,5,57,COMPLETE
145,6438.446871667288,2025-08-06 11:09:09.334021,2025-08-06 11:10:12.886057,0 days 00:01:03.552036,1.7845141025580173,7,100,COMPLETE
146,8391.980597336531,2025-08-06 11:09:09.340848,2025-08-06 11:10:12.371667,0 days 00:01:03.030819,1.782058053963914,5,100,COMPLETE
147,18286.90268777629,2025-08-06 11:09:09.341813,2025-08-06 11:09:43.553989,0 days 00:00:34.212176,1.774197448104945,6,58,COMPLETE
148,17831.25305193868,2025-08-06 11:09:09.363249,2025-08-06 11:10:13.855370,0 days 00:01:04.492121,1.7435051414648208,5,56,COMPLETE
149,7170.918877434778,2025-08-06 11:09:09.425771,2025-08-06 11:10:55.465083,0 days 00:01:46.039312,1.8214451138453236,7,100,COMPLETE
150,11510.618997213985,2025-08-06 11:09:09.469742,2025-08-06 11:10:15.781454,0 days 00:01:06.311712,1.8337967424158024,7,53,COMPLETE
151,21691.457139465376,2025-08-06 11:09:09.488209,2025-08-06 11:11:02.753349,0 days 00:01:53.265140,1.6781048775439924,5,59,COMPLETE
152,8221.152882986726,2025-08-06 11:09:09.568394,2025-08-06 11:10:16.692481,0 days 00:01:07.124087,1.801786036892044,5,100,COMPLETE
153,19835.465754920904,2025-08-06 11:09:09.570869,2025-08-06 11:09:53.530761,0 days 00:00:43.959892,1.679002193782724,5,55,COMPLETE
154,11675.513510630019,2025-08-06 11:09:09.624487,2025-08-06 11:10:17.141055,0 days 00:01:07.516568,1.818558695076811,5,99,COMPLETE
155,8274.610881492383,2025-08-06 11:09:09.631760,2025-08-06 11:13:50.012408,0 days 00:04:40.380648,1.818387373787036,7,98,COMPLETE
156,9309.095645076231,2025-08-06 11:09:09.690871,2025-08-06 11:10:19.549451,0 days 00:01:09.858580,1.7648605778145128,5,98,COMPLETE
157,13685.007783665873,2025-08-06 11:09:09.781895,2025-08-06 11:10:19.290515,0 days 00:01:09.508620,1.5287628104394473,5,99,COMPLETE
158,11520.954348840593,2025-08-06 11:09:09.789720,2025-08-06 11:10:19.547833,0 days 00:01:09.758113,1.7114693305775295,7,98,COMPLETE
159,9522.728772002585,2025-08-06 11:09:09.961049,2025-08-06 11:10:22.212672,0 days 00:01:12.251623,1.763621718400306,5,99,COMPLETE
160,10589.434080262328,2025-08-06 11:09:09.975717,2025-08-06 11:09:54.671368,0 days 00:00:44.695651,1.7380839572413886,9,99,COMPLETE
161,11057.111780083516,2025-08-06 11:09:10.091678,2025-08-06 11:10:25.240233,0 days 00:01:15.148555,1.740379916264383,5,98,COMPLETE
162,11355.293468332857,2025-08-06 11:09:10.108651,2025-08-06 11:10:24.225839,0 days 00:01:14.117188,1.8266587719230367,9,58,COMPLETE
163,12944.634025257332,2025-08-06 11:09:10.120866,2025-08-06 11:10:24.565657,0 days 00:01:14.444791,1.6159405321990061,10,100,COMPLETE
164,16977.262839379735,2025-08-06 11:09:10.180808,2025-08-06 11:09:55.483983,0 days 00:00:45.303175,1.5754681735798148,6,99,COMPLETE
165,9627.294125766188,2025-08-06 11:09:10.186816,2025-08-06 11:09:45.870648,0 days 00:00:35.683832,1.7732924991166974,5,98,COMPLETE
166,8171.417053385043,2025-08-06 11:09:10.212500,2025-08-06 11:10:26.304872,0 days 00:01:16.092372,1.8565240084832104,5,96,COMPLETE
167,6886.933398291455,2025-08-06 11:09:10.224636,2025-08-06 11:09:55.882287,0 days 00:00:45.657651,1.8809934202921537,6,59,COMPLETE
168,11782.145363391433,2025-08-06 11:09:10.302813,2025-08-06 11:09:58.485025,0 days 00:00:48.182212,1.673510735401766,6,99,COMPLETE
169,10006.287065828963,2025-08-06 11:09:10.336703,2025-08-06 11:11:28.593887,0 days 00:02:18.257184,1.722969639704686,7,100,COMPLETE
170,9874.012837359043,2025-08-06 11:09:10.357038,2025-08-06 11:09:58.500929,0 days 00:00:48.143891,1.7595864275128024,6,99,COMPLETE
171,11675.513510630019,2025-08-06 11:09:10.385636,2025-08-06 11:09:46.760889,0 days 00:00:36.375253,1.8256811884642938,5,99,COMPLETE
172,19950.85664377563,2025-08-06 11:09:10.429504,2025-08-06 11:13:04.382007,0 days 00:03:53.952503,1.6516730517402172,8,98,COMPLETE
173,14915.944171388002,2025-08-06 11:09:10.450213,2025-08-06 11:11:32.913796,0 days 00:02:22.463583,1.5738741199281532,6,100,COMPLETE
