number,value,datetime_start,datetime_complete,duration,params_rsi_oversold,params_rsi_period,params_stoch_d_period,params_stoch_k_period,params_stoch_overbought,params_stoch_oversold,params_stoch_smooth_period,state
150,6773.507000439849,2025-07-01 16:03:32.344228,2025-07-01 16:49:55.110410,0 days 00:46:22.766182,28,6,10,11,78,23,5,COMPLETE
151,3536.6163904657587,2025-07-01 16:03:32.616798,2025-07-01 16:50:40.132753,0 days 00:47:07.515955,25,14,10,9,80,31,5,COMPLETE
152,4842.736400112592,2025-07-01 16:03:32.753942,2025-07-01 16:49:13.863540,0 days 00:45:41.109598,6,6,5,19,68,15,2,COMPLETE
153,5545.654021755552,2025-07-01 16:03:32.881204,2025-07-01 16:49:16.252136,0 days 00:45:43.370932,6,29,6,5,65,13,4,COMPLETE
154,5173.347313160619,2025-07-01 16:03:32.889597,2025-07-01 16:50:13.791008,0 days 00:46:40.901411,14,13,4,17,69,30,3,COMPLETE
155,3291.5671848629117,2025-07-01 16:03:33.054608,2025-07-01 16:50:24.983884,0 days 00:46:51.929276,18,20,5,10,88,19,2,COMPLETE
156,4239.325414094841,2025-07-01 16:03:33.662097,2025-07-01 16:53:11.924542,0 days 00:49:38.262445,6,19,2,14,65,15,5,COMPLETE
157,3543.77384031161,2025-07-01 16:03:33.708232,2025-07-01 16:50:59.727580,0 days 00:47:26.019348,5,16,3,9,60,16,5,COMPLETE
158,1902.9558542354098,2025-07-01 16:03:34.092921,2025-07-01 16:51:38.232072,0 days 00:48:04.139151,17,21,2,6,83,21,1,COMPLETE
159,0.0,2025-07-01 16:03:34.294590,2025-07-01 16:51:49.656247,0 days 00:48:15.361657,0,27,9,7,79,10,5,COMPLETE
160,7748.249217930362,2025-07-01 16:03:34.527806,2025-07-01 16:51:26.610967,0 days 00:47:52.083161,22,21,3,16,64,10,5,COMPLETE
161,15120.453987316016,2025-07-01 16:03:34.645861,2025-07-01 16:50:15.177460,0 days 00:46:40.531599,30,27,6,17,90,24,1,COMPLETE
162,3328.158687236899,2025-07-01 16:03:34.749284,2025-07-01 16:53:02.738332,0 days 00:49:27.989048,7,12,3,15,82,24,4,COMPLETE
163,4289.608888878905,2025-07-01 16:03:34.934459,2025-07-01 16:53:04.700799,0 days 00:49:29.766340,13,7,10,15,73,17,5,COMPLETE
164,-306.0424514981296,2025-07-01 16:03:34.965654,2025-07-01 16:52:32.246871,0 days 00:48:57.281217,29,21,2,5,87,25,2,COMPLETE
165,3201.0418545442044,2025-07-01 16:03:35.342522,2025-07-01 16:49:55.329660,0 days 00:46:19.987138,28,6,6,11,78,38,2,COMPLETE
166,3954.0479872894393,2025-07-01 16:03:35.400338,2025-07-01 16:53:21.100362,0 days 00:49:45.700024,4,21,3,5,87,27,3,COMPLETE
167,4467.430773280179,2025-07-01 16:03:35.685113,2025-07-01 16:50:23.793636,0 days 00:46:48.108523,3,18,6,17,67,32,4,COMPLETE
168,7326.263789521628,2025-07-01 16:03:36.317438,2025-07-01 16:54:07.166741,0 days 00:50:30.849303,12,19,2,6,63,11,3,COMPLETE
169,6679.687027686636,2025-07-01 16:03:36.439581,2025-07-01 16:53:31.440507,0 days 00:49:55.000926,10,17,10,21,73,11,5,COMPLETE
170,4228.174884777911,2025-07-01 16:03:36.485624,2025-07-01 16:53:48.280434,0 days 00:50:11.794810,27,25,3,16,72,39,2,COMPLETE
171,5288.9275173428305,2025-07-01 16:03:36.569301,2025-07-01 16:52:07.610098,0 days 00:48:31.040797,10,11,10,19,68,35,2,COMPLETE
172,4159.4630291901485,2025-07-01 16:03:36.896537,2025-07-01 16:54:33.673425,0 days 00:50:56.776888,23,21,5,13,76,26,3,COMPLETE
173,1462.7526400550341,2025-07-01 16:03:37.108618,2025-07-01 16:53:39.530046,0 days 00:50:02.421428,23,5,2,6,70,16,4,COMPLETE
174,-4251.911821132189,2025-07-01 16:03:37.568310,2025-07-01 16:51:02.843008,0 days 00:47:25.274698,30,10,5,8,90,26,3,COMPLETE
175,6557.990438614407,2025-07-01 16:03:38.022130,2025-07-01 16:51:28.385273,0 days 00:47:50.363143,8,28,4,7,79,14,3,COMPLETE
176,5608.968742367631,2025-07-01 16:03:38.339267,2025-07-01 16:54:44.993244,0 days 00:51:06.653977,25,25,10,18,65,35,2,COMPLETE
